id,label,value,low,high,unit,tier,source,anchor,url,as_of,caveat,used_in
eu_shipments,Enlarged Europe consolidated shipments,2490000,,,units,SOURCED,Stellantis FY2025 results press release (SEC-filed),,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000019/stellantisnvfy2025pressrel.htm,FY2025,"Down from 2,576k in FY2024. Enlarged Europe is the EU-27, the UK and EFTA (plus Israel and Palestine from 2025); Middle East & Africa is a separate segment.",Leak 1;Leak 2
eu_revenue_eur_m,Enlarged Europe net revenues,57773,,,EUR m,SOURCED,Stellantis FY2025 results press release (SEC-filed),,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000019/stellantisnvfy2025pressrel.htm,FY2025,Segment revenue; not only new-vehicle sales.,Leak 1
eu_aoi_eur_m,Enlarged Europe adjusted operating income,-651,,,EUR m,SOURCED,Stellantis FY2025 results press release (SEC-filed),,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000019/stellantisnvfy2025pressrel.htm,FY2025,"A swing of -3,070m from +2,419m in FY2024. Context for urgency; not an input to the VaR.",Context
group_shipments,Group consolidated shipments,5484000,,,units,SOURCED,Stellantis FY2025 results press release (SEC-filed),,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000019/stellantisnvfy2025pressrel.htm,FY2025,,Context
group_revenue_eur_m,Group net revenues,153508,,,EUR m,SOURCED,Stellantis FY2025 results press release (SEC-filed),,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000019/stellantisnvfy2025pressrel.htm,FY2025,,Context
buyback_payables_eur_m,Payables for buy-back agreements,7889,,,EUR m,SOURCED,Stellantis Form 20-F FY2025 Note 24 Other liabilities,,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,2025-12-31,Current 5313 + non-current 2576. This is the committed repurchase price and is the residual exposure base.,Leak 3
buyback_payables_current_eur_m,Payables for buy-back agreements due within one year,5313,,,EUR m,SOURCED,"Stellantis Form 20-F FY2025 Note 24 Other liabilities, current column",,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,2025-12-31,"The part of the 7,889m that comes back within twelve months, so the base of a per-year figure. The 2,576m due after one year is counted in the year it falls due.",Leak 3
buyback_term_policy,Contracts of 12 months or less are booked as assets sold with a buy-back commitment,,,,text,SOURCED,"Stellantis Form 20-F FY2025, revenue recognition: ""recorded within Assets sold with a buy-back commitment if the contract term is 12 months or less, and recorded in Property, plant and equipment if the contract term is greater than 12 months""",,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,FY2025,Why most of the book is short-dated.,Context
buyback_value_decrease_2025_eur_m,Decrease in value booked on assets sold with a buy-back commitment - 2025,358,,,EUR m,SOURCED,"Stellantis Form 20-F FY2025, cost of revenues: ""EUR 358 million, EUR 179 million and EUR 82 million related to the decrease in value for assets sold with buy-back commitments"" (2025, 2024, 2023)",,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,FY2025,"What the group actually booked, on contracts of 12 months or less only. A reality check on the per-year leak 3, not an input.",Context
buyback_value_decrease_2024_eur_m,Decrease in value booked on assets sold with a buy-back commitment - 2024,179,,,EUR m,SOURCED,"Stellantis Form 20-F FY2025, cost of revenues (same sentence)",,https://www.sec.gov/Archives/edgar/data/1605484/000160548426000021/stellantis-20251231.htm,FY2024,See buyback_value_decrease_2025_eur_m.,Context
